Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:15:28,AB_2,6.12,12.9,7.77,10.43,13.1,8.59
2026-04-20 00:15:29,AB_2,6.26,12.8,7.78,9.97,12.6,8.29
2026-04-20 00:15:29,AB_2,6.18,12.42,7.47,10.51,13.0,8.52
2026-04-20 00:15:30,AB_2,6.18,12.6,7.82,10.12,12.9,8.56
2026-04-20 00:15:30,AB_2,6.28,12.43,7.76,10.08,13.0,8.45
2026-04-20 00:15:30,AB_2,6.14,12.38,7.66,10.29,12.9,8.54
2026-04-20 00:15:31,AB_2,6.18,12.54,7.82,10.07,12.73,8.46
2026-04-20 00:15:31,AB_2,6.16,12.18,7.64,10.37,13.0,8.43
2026-04-20 00:15:32,AB_2,6.15,12.52,7.7,10.08,13.0,8.46
2026-04-20 00:15:32,AB_2,6.19,12.24,7.55,10.15,12.72,8.46
2026-04-20 00:15:32,AB_2,6.21,12.36,7.71,10.1,12.9,8.45
2026-04-20 00:15:33,AB_2,6.25,11.93,7.09,10.09,12.8,8.22
2026-04-20 00:15:33,AB_2,6.21,12.6,7.73,10.23,13.0,8.79
2026-04-20 00:15:34,AB_2,6.48,11.95,7.45,10.09,12.75,8.42
2026-04-20 00:15:34,AB_2,6.15,12.41,7.79,10.17,12.9,8.77
2026-04-20 00:15:34,AB_2,6.33,12.1,7.73,9.95,12.72,8.38
2026-04-20 00:15:35,AB_2,6.32,12.36,7.53,10.23,13.0,8.46
2026-04-20 00:15:35,AB_2,6.12,12.07,7.56,10.22,12.8,8.44
2026-04-20 00:15:36,AB_2,6.15,12.16,7.67,10.09,12.8,8.52
2026-04-20 00:15:36,AB_2,6.11,12.03,8.17,10.18,12.63,8.47
2026-04-20 00:15:36,AB_2,6.18,12.02,7.56,10.12,12.26,8.48
2026-04-20 00:15:37,AB_2,6.1,12.18,7.64,10.2,12.59,8.49
2026-04-20 00:15:37,AB_2,6.12,11.96,7.55,10.26,13.1,8.47
2026-04-20 00:15:38,AB_2,6.17,12.0,7.59,10.14,12.77,8.5
2026-04-20 00:15:38,AB_2,6.13,11.97,7.45,10.22,12.64,8.4
2026-04-20 00:15:38,AB_2,6.2,12.07,7.69,10.03,12.8,8.58
2026-04-20 00:15:39,AB_2,6.19,12.02,7.42,10.31,12.77,8.51
2026-04-20 00:15:39,AB_2,6.29,12.15,7.54,10.2,13.1,8.49
2026-04-20 00:15:40,AB_2,6.21,11.98,7.51,10.24,12.8,8.5
2026-04-20 00:15:40,AB_2,6.16,12.09,7.55,10.08,12.9,8.5
2026-04-20 00:15:40,AB_2,6.16,11.87,7.5,10.16,12.5,8.57
2026-04-20 00:15:41,AB_2,6.13,11.99,7.51,10.14,12.52,8.52
2026-04-20 00:15:41,AB_2,6.22,12.16,7.53,10.11,12.9,8.58
2026-04-20 00:15:42,AB_2,6.17,11.8,7.59,10.14,12.49,8.53
2026-04-20 00:15:42,AB_2,6.2,12.24,7.58,10.12,13.0,8.55
2026-04-20 00:15:42,AB_2,6.23,12.15,7.58,10.17,13.1,8.53
2026-04-20 00:15:43,AB_2,6.32,12.23,7.73,10.19,13.0,8.49
2026-04-20 00:15:43,AB_2,6.18,12.19,7.77,10.16,13.0,8.57
2026-04-20 00:15:44,AB_2,6.3,12.03,7.57,10.16,12.9,8.56
2026-04-20 00:15:44,AB_2,6.17,12.21,7.53,10.21,13.0,8.54
2026-04-20 00:15:44,AB_2,6.18,12.2,7.58,10.2,13.1,8.51
2026-04-20 00:15:45,AB_2,6.18,12.21,7.55,10.17,12.59,8.58
2026-04-20 00:15:45,AB_2,6.2,11.98,7.61,10.26,13.1,8.53
2026-04-20 00:15:45,AB_2,6.29,12.2,7.51,10.14,13.1,8.53
2026-04-20 00:15:46,AB_2,6.22,12.19,7.63,10.13,13.1,8.52
2026-04-20 00:15:46,AB_2,6.17,12.21,7.56,10.22,13.1,8.59
2026-04-20 00:15:47,AB_2,6.25,12.15,7.55,10.17,12.55,8.57
2026-04-20 00:15:47,AB_2,6.15,12.24,7.55,10.18,12.74,8.55
2026-04-20 00:15:47,AB_2,6.19,12.26,7.53,10.15,13.0,8.58
2026-04-20 00:15:48,AB_2,6.41,12.17,7.53,10.24,13.2,8.56
2026-04-20 00:15:48,AB_2,6.5,11.99,7.54,10.18,12.8,8.56
2026-04-20 00:15:49,AB_2,6.21,12.08,7.5,10.16,13.1,8.54
2026-04-20 00:15:49,AB_2,6.2,12.18,7.54,10.3,13.1,8.53
2026-04-20 00:15:49,AB_2,6.23,12.2,7.53,10.23,12.6,8.54
2026-04-20 00:15:50,AB_2,6.26,11.93,7.55,10.15,13.0,8.54
2026-04-20 00:15:50,AB_2,6.14,12.15,7.51,10.14,13.2,8.52
2026-04-20 00:15:51,AB_2,6.21,12.22,7.58,10.13,13.3,8.52
2026-04-20 00:15:51,AB_2,6.23,12.03,7.55,10.21,13.3,8.62
2026-04-20 00:15:51,AB_2,6.16,11.99,7.55,10.16,13.1,8.55
2026-04-20 00:15:52,AB_2,6.2,11.99,7.57,10.17,13.1,8.52
2026-04-20 00:15:52,AB_2,6.23,12.01,7.48,10.16,12.75,8.59
2026-04-20 00:15:53,AB_2,6.17,12.17,7.7,10.16,13.3,8.56
2026-04-20 00:15:53,AB_2,6.21,12.16,7.53,10.16,13.2,8.55
2026-04-20 00:15:53,AB_2,6.43,12.17,7.45,10.26,13.1,8.52
2026-04-20 00:15:54,AB_2,6.3,12.18,7.63,10.18,13.2,8.7
2026-04-20 00:15:54,AB_2,6.25,12.25,7.53,10.18,12.63,8.54
2026-04-20 00:15:55,AB_2,6.18,11.9,7.59,10.16,12.8,8.56
2026-04-20 00:15:55,AB_2,6.28,12.21,7.53,10.23,13.1,8.53
2026-04-20 00:15:55,AB_2,6.47,12.01,7.51,10.12,13.2,8.52
2026-04-20 00:15:56,AB_2,6.3,12.17,7.55,10.15,13.3,8.61
2026-04-20 00:15:56,AB_2,6.2,12.17,7.67,10.33,13.0,8.56
2026-04-20 00:15:57,AB_2,6.14,11.94,7.66,10.15,13.1,8.54
2026-04-20 00:15:57,AB_2,6.2,12.22,7.53,10.2,12.77,8.53
2026-04-20 00:15:57,AB_2,6.17,12.18,7.65,10.13,13.2,8.64
2026-04-20 00:15:58,AB_2,6.2,11.87,7.49,10.13,12.8,8.57
2026-04-20 00:15:58,AB_2,6.16,11.85,7.56,10.22,12.8,8.49
2026-04-20 00:15:59,AB_2,6.2,11.96,7.51,10.12,12.56,8.58
2026-04-20 00:15:59,AB_2,6.36,11.92,7.52,10.2,12.18,8.55
2026-04-20 00:15:59,AB_2,6.37,12.04,7.57,10.12,12.5,8.54
